District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
East Longmeadow,870000,     210.8,99.5,  12.1 to 1,93.2,98.6,97.2,2023
Eastham,850000,      18.6,100.0,  10.0 to 1,78.5,100.0,100.0,2023
Easthampton,860000,     116.1,99.1,  12.2 to 1,89.9,98.3,98.3,2023
Easton,880000,     262.9,100.0,  13.0 to 1,89.5,97.0,98.9,2023
Edgartown,890000,      44.2,96.9,   9.1 to 1,81.0,95.8,93.1,2023
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),4520000,      34.9,100.0,  10.4 to 1,90.3,84.5,85.0,2023
Erving,910000,      18.3,98.4,   7.0 to 1,81.4,89.1,95.2,2023
Essex North Shore Agricultural and Technical School District,8170000,     151.1,98.3,  11.2 to 1,76.2,79.5,92.7,2023
Everett,930000,     603.5,99.5,  12.1 to 1,79.9,90.6,93.2,2023
Excel Academy Charter (District),4100000,     125.9,78.2,  10.8 to 1,48.1,82.1,51.4,2023
Fairhaven,940000,     147.0,99.3,  12.4 to 1,87.3,93.3,94.8,2023
Fall River,950000,     790.2,93.0,  13.2 to 1,64.4,86.6,82.9,2023
Falmouth,960000,     292.0,99.7,  10.2 to 1,87.7,95.2,95.6,2023
Farmington River Reg,6620000,      14.2,100.0,   8.5 to 1,88.7,100.0,100.0,2023
Fitchburg,970000,     424.2,99.8,  12.2 to 1,81.1,92.6,94.5,2023
Florida,980000,      13.0,92.3,   7.1 to 1,76.9,76.9,84.6,2023
Four Rivers Charter Public (District),4130000,      20.5,73.3,  10.7 to 1,91.7,95.1,48.4,2023
Foxborough,990000,     207.7,98.6,  11.8 to 1,91.5,98.1,98.2,2023
Foxborough Regional Charter (District),4460000,,,Not Reported,,,,2023
Framingham,1000000,     742.5,95.3,  12.5 to 1,73.6,93.9,87.0,2023
Francis W. Parker Charter Essential (District),4780000,      46.2,69.1,   8.4 to 1,61.0,93.5,61.1,2023
Franklin,1010000,     390.6,99.7,  12.1 to 1,84.3,95.7,97.6,2023
Franklin County Regional Vocational Technical,8180000,      57.6,94.8,  10.5 to 1,77.4,91.3,86.9,2023
Freetown-Lakeville,6650000,     211.7,99.5,  13.1 to 1,89.5,94.8,97.7,2023
Frontier,6700000,      55.3,99.9,  11.0 to 1,87.2,92.8,78.1,2023
Gardner,1030000,     157.7,99.2,  15.1 to 1,79.3,89.4,93.5,2023
Gateway,6720000,      83.8,94.0,   9.3 to 1,84.4,96.4,88.7,2023
Georgetown,1050000,      89.9,100.0,  14.1 to 1,92.0,91.2,96.2,2023
Gill-Montague,6740000,      86.6,99.9,  10.0 to 1,89.8,93.8,92.9,2023
Global Learning Charter Public (District),4960000,      43.2,97.7,  11.5 to 1,64.4,85.7,87.5,2023
Gloucester,1070000,     266.0,99.6,  10.5 to 1,80.6,90.4,98.2,2023
Gosnold,1090000,       0.0,0.0,,,,,2023
Grafton,1100000,     248.1,99.2,  12.4 to 1,88.5,98.1,95.1,2023
Granby,1110000,      60.8,99.8,  11.8 to 1,89.9,95.2,95.5,2023
Greater Commonwealth Virtual District,39010000,      72.4,97.2,  15.9 to 1,84.8,95.9,91.5,2023
Greater Fall River Regional Vocational Technical,8210000,     142.8,95.8,   9.9 to 1,88.8,83.9,89.2,2023
Greater Lawrence Regional Vocational Technical,8230000,     151.0,95.4,  11.2 to 1,83.4,78.1,87.6,2023
Greater Lowell Regional Vocational Technical,8280000,     214.9,100.0,  10.7 to 1,83.7,84.2,95.3,2023
Greater New Bedford Regional Vocational Technical,8250000,     193.9,99.5,  10.8 to 1,91.3,89.2,93.4,2023
Greenfield,1140000,     135.4,97.5,  10.7 to 1,75.4,90.2,92.9,2023
Groton-Dunstable,6730000,     184.8,100.0,  12.7 to 1,89.2,95.1,96.4,2023
Hadley,1170000,      52.1,100.0,   9.5 to 1,84.7,93.3,94.1,2023
Halifax,1180000,      38.6,100.0,  14.5 to 1,91.5,99.2,100.0,2023
Hamilton-Wenham,6750000,     147.5,100.0,  11.2 to 1,90.4,98.1,97.5,2023
Hampden Charter School of Science East (District),4990000,      46.7,80.3,  11.8 to 1,60.5,81.3,80.0,2023
Hampden Charter School of Science West (District),35160000,      34.3,91.3,  10.7 to 1,61.5,65.0,68.3,2023
Hampden-Wilbraham,6800000,     215.0,100.0,  13.3 to 1,92.6,98.3,98.7,2023
Hampshire,6830000,      74.0,100.0,   8.9 to 1,88.5,94.6,98.7,2023
Hancock,1210000,       7.4,97.3,   8.0 to 1,97.3,86.5,90.0,2023
Hanover,1220000,     198.8,99.0,  13.0 to 1,88.2,97.1,98.2,2023
Harvard,1250000,      91.7,100.0,  11.1 to 1,91.3,95.6,94.7,2023
Hatfield,1270000,      39.3,97.5,   8.8 to 1,80.9,87.3,93.0,2023
Haverhill,1280000,     657.6,99.1,  11.8 to 1,79.3,93.4,97.1,2023
Hawlemont,6850000,       9.4,100.0,   9.7 to 1,80.8,95.7,100.0,2023
Helen Y. Davis Leadership Academy Charter Public (District),4190000,      16.8,47.8,   6.8 to 1,29.9,88.1,38.1,2023
Hill View Montessori Charter Public (District),4550000,      24.2,53.7,  12.6 to 1,58.1,95.9,45.8,2023
Hilltown Cooperative Charter Public (District),4500000,      21.1,91.6,  10.3 to 1,68.0,90.5,68.0,2023
Hingham,1310000,     312.6,99.7,  12.1 to 1,89.2,98.1,97.8,2023
Holbrook,1330000,      96.7,99.0,  13.5 to 1,83.7,97.5,96.1,2023
Holland,1350000,      19.4,100.0,  11.9 to 1,78.4,100.0,100.0,2023
Holliston,1360000,     206.8,99.2,  13.4 to 1,85.0,94.6,96.0,2023
Holyoke,1370000,     434.3,87.9,  11.4 to 1,55.1,88.4,76.3,2023
Holyoke Community Charter (District),4530000,      41.5,74.7,  16.5 to 1,63.9,90.4,51.4,2023
Hoosac Valley Regional,6030000,      93.9,94.7,  10.5 to 1,75.6,93.6,92.7,2023
Hopedale,1380000,      98.3,100.0,  11.1 to 1,77.2,91.6,95.2,2023
Hopkinton,1390000,     288.6,100.0,  14.4 to 1,88.5,96.3,97.5,2023
Hudson,1410000,     240.2,95.6,   9.7 to 1,85.0,96.8,93.1,2023
Hull,1420000,      79.2,100.0,   9.8 to 1,85.1,93.7,100.0,2023
Innovation Academy Charter (District),4350000,      70.5,87.8,  11.3 to 1,74.0,83.4,75.0,2023
Ipswich,1440000,     164.6,99.4,   9.7 to 1,84.0,98.2,96.0,2023
KIPP Academy Boston Charter School (District),4630000,      43.0,82.6,  13.4 to 1,40.7,89.5,46.0,2023
KIPP Academy Lynn Charter (District),4290000,     116.2,68.6,  13.9 to 1,44.9,88.4,39.1,2023
King Philip,6900000,     141.5,99.3,  12.8 to 1,84.6,94.3,95.9,2023
Kingston,1450000,      77.3,100.0,  15.7 to 1,89.5,98.1,98.8,2023
Lawrence,1490000,"   1,148.9",91.8,  11.2 to 1,62.2,88.4,83.5,2023
Lawrence Family Development Charter (District),4540000,      42.1,97.6,  20.3 to 1,41.5,88.1,86.3,2023
Learning First Charter Public School (District),4860000,      31.8,100.0,  21.0 to 1,47.2,66.0,96.9,2023
Lee,1500000,      72.3,100.0,   9.2 to 1,86.2,91.7,91.7,2023
Leicester,1510000,     102.1,99.0,  13.3 to 1,87.3,97.1,98.1,2023
Lenox,1520000,      74.5,100.0,  10.3 to 1,91.0,99.9,92.6,2023
Leominster,1530000,     434.5,98.2,  13.8 to 1,79.1,92.8,94.9,2023
Leverett,1540000,      15.9,100.0,   8.8 to 1,87.5,93.7,100.0,2023
Lexington,1550000,     624.2,99.3,  11.0 to 1,85.4,96.1,97.4,2023
Libertas Academy Charter School (District),35140000,      45.2,65.2,   9.1 to 1,24.9,93.4,,2023
Lincoln,1570000,     121.4,100.0,   8.3 to 1,91.9,96.0,97.6,2023
Lincoln-Sudbury,6950000,     127.5,100.0,  11.6 to 1,93.5,94.1,97.9,2023
Littleton,1580000,     124.7,99.2,  13.5 to 1,83.3,94.5,96.3,2023
Longmeadow,1590000,     246.6,99.6,  11.3 to 1,88.1,96.8,95.8,2023
Lowell,1600000,"   1,173.4",96.9,  12.0 to 1,82.4,91.5,90.1,2023
Lowell Community Charter Public (District),4560000,      63.3,96.8,  12.9 to 1,65.2,90.5,95.7,2023
Lowell Middlesex Academy Charter (District),4580000,       5.5,72.7,  15.1 to 1,72.7,63.6,60.0,2023
Ludlow,1610000,     216.4,100.0,  10.5 to 1,95.0,98.2,96.0,2023
Lunenburg,1620000,     112.8,97.3,  13.8 to 1,86.1,98.2,89.4,2023
Lynn,1630000,"   1,274.6",95.6,  12.1 to 1,71.1,89.5,89.8,2023
Lynnfield,1640000,     157.2,100.0,  14.0 to 1,90.6,97.5,97.8,2023
Ma Academy for Math and Science,4680000,       6.0,100.0,  16.7 to 1,100.0,83.3,100.0,2023
Malden,1650000,     464.0,98.8,  13.6 to 1,76.6,91.8,96.3,2023
Manchester Essex Regional,6980000,     122.9,100.0,   9.9 to 1,91.1,94.4,96.9,2023
Mansfield,1670000,     298.5,100.0,  11.5 to 1,89.9,98.0,99.3,2023
Map Academy Charter School (District),35170000,      24.8,95.0,  10.1 to 1,52.7,71.4,68.0,2023
Marblehead,1680000,     250.0,99.2,  10.5 to 1,86.0,96.0,98.1,2023
Marblehead Community Charter Public (District),4640000,      22.6,91.2,   9.9 to 1,69.1,82.3,86.4,2023
Marion,1690000,      33.8,100.0,  11.9 to 1,88.2,97.0,100.0,2023
Marlborough,1700000,     407.6,99.8,  11.7 to 1,82.7,94.5,99.3,2023
Marshfield,1710000,     325.3,99.7,  11.6 to 1,87.5,96.0,98.3,2023
Martha's Vineyard,7000000,      82.9,87.9,   9.1 to 1,75.6,84.7,86.5,2023
Martha's Vineyard Charter Public School (District),4660000,      20.2,82.6,   9.0 to 1,47.6,81.8,91.7,2023
"Martin Luther King, Jr. Charter School of Excellence (District)",4920000,      36.5,76.7,   9.6 to 1,35.6,89.0,52.8,2023
Masconomet,7050000,     131.9,99.2,  11.7 to 1,92.7,94.7,97.9,2023
Mashpee,1720000,     136.8,99.6,  10.5 to 1,84.2,91.2,93.8,2023
Match Charter Public School (District),4690000,     125.1,73.6,   9.5 to 1,35.3,85.9,48.8,2023
Mattapoisett,1730000,      38.5,100.0,  11.1 to 1,94.8,100.0,100.0,2023
Maynard,1740000,     118.0,96.6,  10.1 to 1,80.8,95.0,91.1,2023
Medfield,1750000,     208.0,99.6,  12.1 to 1,92.6,96.2,94.7,2023
Medford,1760000,     394.2,98.7,  10.6 to 1,81.3,93.9,91.9,2023
Medway,1770000,     155.3,98.2,  13.6 to 1,85.1,96.8,96.4,2023
Melrose,1780000,     263.1,99.5,  14.6 to 1,85.4,95.7,94.4,2023
Mendon-Upton,7100000,     162.7,94.5,  12.9 to 1,82.8,98.2,89.3,2023
Methuen,1810000,     537.8,98.7,  12.0 to 1,82.2,94.0,94.9,2023
Middleborough,1820000,     216.9,100.0,  14.0 to 1,86.9,95.0,97.3,2023
Middleton,1840000,      69.0,98.5,  10.5 to 1,85.1,100.0,100.0,2023
Milford,1850000,     383.1,99.5,  11.7 to 1,85.9,96.1,95.9,2023
Millbury,1860000,     129.4,100.0,  12.5 to 1,87.5,93.8,98.6,2023
Millis,1870000,     103.8,99.0,  11.6 to 1,89.3,96.3,93.6,2023
Milton,1890000,     330.5,99.1,  13.1 to 1,87.7,95.7,96.3,2023
Minuteman Regional Vocational Technical,8300000,      78.3,98.7,   8.8 to 1,87.1,87.2,95.1,2023
Mohawk Trail,7170000,      74.0,95.9,  10.6 to 1,87.3,92.4,90.1,2023
Monomoy Regional School District,7120000,     165.1,98.8,  10.7 to 1,86.6,94.7,96.1,2023
Monson,1910000,      85.8,97.7,   9.6 to 1,68.6,92.0,92.7,2023
Montachusett Regional Vocational Technical,8320000,     120.3,99.2,  11.7 to 1,86.7,89.2,92.5,2023
Mount Greylock,7150000,     112.9,98.6,  10.6 to 1,86.0,92.2,93.3,2023
Mystic Valley Regional Charter (District),4700000,      96.7,57.4,  16.6 to 1,39.0,84.5,35.2,2023
Nahant,1960000,      10.7,98.1,  14.5 to 1,36.2,81.3,93.3,2023
Nantucket,1970000,     161.3,95.3,  10.7 to 1,69.8,86.6,91.8,2023
Narragansett,7200000,     100.7,100.0,  14.6 to 1,86.1,89.9,96.2,2023
Nashoba,7250000,     263.5,99.2,  11.6 to 1,88.6,95.6,97.1,2023
Nashoba Valley Regional Vocational Technical,8520000,      64.5,95.9,  11.6 to 1,83.0,72.6,92.4,2023
Natick,1980000,     447.7,99.4,  11.9 to 1,88.6,95.5,95.3,2023
Nauset,6600000,     134.8,100.0,   9.7 to 1,92.4,95.0,97.9,2023
Needham,1990000,     437.0,99.6,  12.6 to 1,86.0,97.3,98.5,2023
Neighborhood House Charter (District),4440000,      76.9,54.0,  10.0 to 1,47.5,89.6,43.8,2023
New Bedford,2010000,"   1,099.8",96.6,  11.4 to 1,70.1,86.2,93.5,2023
New Heights Charter School of Brockton (District),35130000,      54.2,90.5,  13.7 to 1,57.0,76.0,78.0,2023
New Salem-Wendell,7280000,      13.5,100.0,   9.7 to 1,85.2,100.0,100.0,2023
Newburyport,2040000,     210.7,100.0,  10.2 to 1,83.4,94.0,97.0,2023
Newton,2070000,"   1,090.8",97.1,  10.9 to 1,87.3,97.5,95.2,2023
Norfolk,2080000,      85.8,100.0,  11.8 to 1,87.8,97.9,100.0,2023
Norfolk County Agricultural,9150000,      56.3,98.2,  10.3 to 1,89.3,84.0,96.6,2023
North Adams,2090000,     126.5,99.2,   9.5 to 1,77.7,93.7,88.2,2023
North Andover,2110000,     339.5,99.8,  13.1 to 1,88.6,95.6,97.5,2023
North Attleborough,2120000,     293.2,99.7,  13.4 to 1,87.4,93.3,98.1,2023
North Brookfield,2150000,      40.7,100.0,  10.8 to 1,74.7,97.5,95.2,2023
North Middlesex,7350000,     249.1,99.6,  12.1 to 1,83.4,95.8,96.1,2023
North Reading,2170000,     212.1,100.0,  11.1 to 1,92.7,95.3,99.5,2023
Northampton,2100000,     234.8,98.8,  11.0 to 1,86.0,95.3,98.0,2023
Northampton-Smith Vocational Agricultural,4060000,      60.8,100.0,   9.3 to 1,78.6,86.8,98.3,2023
Northboro-Southboro,7300000,     112.7,100.0,  10.8 to 1,92.5,100.0,97.4,2023
Northborough,2130000,     138.9,99.3,  11.4 to 1,94.5,97.8,97.3,2023
Northbridge,2140000,     164.0,99.4,  11.9 to 1,87.4,95.2,98.1,2023
Northeast Metropolitan Regional Vocational Technical,8530000,     125.1,91.6,  10.3 to 1,82.8,87.4,88.6,2023
Northern Berkshire Regional Vocational Technical,8510000,      46.6,95.7,  11.5 to 1,91.4,87.1,93.8,2023
Norton,2180000,     199.7,100.0,  11.8 to 1,84.0,96.7,99.5,2023
Norwell,2190000,     165.3,100.0,  13.0 to 1,92.7,97.0,99.4,2023
Norwood,2200000,     316.2,99.4,  11.0 to 1,84.8,95.2,97.9,2023
Oak Bluffs,2210000,      48.6,98.6,   9.0 to 1,80.6,93.3,91.8,2023
Old Colony Regional Vocational Technical,8550000,      61.0,98.4,   9.2 to 1,88.5,90.2,95.2,2023
Old Rochester,7400000,      90.5,100.0,  11.6 to 1,95.8,100.0,97.8,2023
Old Sturbridge Academy Charter Public School (District),35150000,      28.0,96.4,  12.8 to 1,57.1,78.6,83.3,2023
Orange,2230000,      36.8,97.3,  14.2 to 1,75.5,94.6,97.4,2023
Orleans,2240000,      20.9,100.0,   6.9 to 1,85.6,100.0,96.2,2023
Oxford,2260000,     136.7,97.8,  10.5 to 1,83.4,94.9,92.2,2023
Palmer,2270000,     113.2,100.0,  10.0 to 1,79.7,96.5,99.2,2023
Pathfinder Regional Vocational Technical,8600000,      68.6,97.1,   9.3 to 1,80.9,88.2,93.6,2023
Paulo Freire Social Justice Charter School (District),35010000,,,Not Reported,,,,2023
Peabody,2290000,     460.1,98.7,  12.8 to 1,84.0,95.0,96.6,2023
Pelham,2300000,      11.8,100.0,  11.1 to 1,91.5,91.5,94.1,2023
Pembroke,2310000,     190.4,99.5,  13.1 to 1,91.2,96.8,97.0,2023
Pentucket,7450000,     185.5,99.5,  12.0 to 1,84.6,95.7,95.0,2023
Petersham,2340000,       9.5,97.9,  13.3 to 1,87.4,100.0,76.9,2023
"Phoenix Academy Charter Public High School, Chelsea (District)",4930000,      12.0,66.5,  17.0 to 1,18.4,77.0,42.9,2023
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,      12.0,66.7,  10.4 to 1,25.0,50.0,53.8,2023
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,      13.5,51.9,  12.3 to 1,22.2,92.6,30.8,2023
Pioneer Charter School of Science (District),4940000,      73.7,79.4,  10.6 to 1,46.8,83.7,71.3,2023
Pioneer Charter School of Science II (District),35060000,      37.3,79.1,  12.4 to 1,59.9,77.2,61.7,2023
Pioneer Valley,7500000,      53.9,100.0,  12.3 to 1,77.7,96.7,93.7,2023
Pioneer Valley Chinese Immersion Charter (District),4970000,      63.7,88.2,   8.6 to 1,61.0,81.2,70.3,2023
Pioneer Valley Performing Arts Charter Public (District),4790000,      43.4,65.4,   9.0 to 1,53.5,81.4,64.0,2023
Pittsfield,2360000,     525.9,93.3,   9.3 to 1,73.8,92.9,90.3,2023
Plainville,2380000,      50.1,100.0,  12.9 to 1,88.0,100.0,100.0,2023
Plymouth,2390000,     637.1,99.8,  11.2 to 1,86.7,96.1,97.6,2023
Plympton,2400000,      18.9,100.0,  12.5 to 1,83.1,98.9,100.0,2023
Prospect Hill Academy Charter (District),4870000,     106.4,78.7,   9.4 to 1,47.0,88.0,68.0,2023
Provincetown,2420000,      22.5,92.2,   6.3 to 1,78.8,100.0,84.6,2023
Quabbin,7530000,     148.8,99.6,  14.6 to 1,84.6,95.3,93.0,2023
Quaboag Regional,7780000,      85.7,96.9,  13.8 to 1,86.0,93.3,92.7,2023
Quincy,2430000,     727.1,99.7,  13.3 to 1,83.6,95.1,97.6,2023
Ralph C Mahar,7550000,      57.2,93.0,   9.1 to 1,79.6,94.8,79.0,2023
Randolph,2440000,     253.2,99.2,  10.1 to 1,75.5,93.8,93.3,2023
Reading,2460000,     319.8,99.2,  12.0 to 1,88.3,97.0,96.2,2023
Revere,2480000,     610.1,98.4,  12.0 to 1,75.1,92.1,96.1,2023
Richmond,2490000,      18.1,98.9,   8.5 to 1,94.5,97.2,81.8,2023
Rising Tide Charter Public (District),4830000,      60.6,86.1,  10.5 to 1,52.1,78.9,78.5,2023
River Valley Charter (District),4820000,      23.4,79.5,  12.3 to 1,79.5,78.6,68.0,2023
Rochester,2500000,      41.3,100.0,  11.9 to 1,87.9,92.7,100.0,2023
Rockland,2510000,     179.3,98.3,  12.1 to 1,82.2,95.5,97.3,2023
Rockport,2520000,      92.3,100.0,   7.9 to 1,88.1,96.6,91.6,2023
Rowe,2530000,       9.0,88.9,   7.3 to 1,77.7,100.0,88.9,2023
Roxbury Preparatory Charter (District),4840000,     113.7,54.2,  11.4 to 1,23.8,85.3,41.3,2023
Salem,2580000,     351.7,94.5,  10.5 to 1,71.9,91.8,89.3,2023
Salem Academy Charter (District),4850000,      48.0,82.9,  10.2 to 1,44.5,81.0,52.6,2023
Sandwich,2610000,     210.6,98.6,  10.2 to 1,79.8,89.0,90.4,2023
Saugus,2620000,     176.1,99.3,  14.0 to 1,85.2,98.3,96.3,2023
Savoy,2630000,       8.1,100.0,   4.9 to 1,87.7,87.7,88.9,2023
Scituate,2640000,     234.9,100.0,  11.7 to 1,92.1,97.7,98.0,2023
Seekonk,2650000,     170.6,99.9,  12.1 to 1,95.1,97.7,96.8,2023
Sharon,2660000,     268.5,100.0,  13.2 to 1,85.3,97.1,96.4,2023
Shawsheen Valley Regional Vocational Technical,8710000,     129.1,97.7,  10.0 to 1,91.4,89.0,90.2,2023
Sherborn,2690000,      33.4,100.0,  12.0 to 1,78.3,97.2,100.0,2023
Shrewsbury,2710000,     433.6,98.1,  13.6 to 1,86.8,95.8,95.5,2023
Shutesbury,2720000,      17.2,100.0,   7.2 to 1,88.4,94.2,94.7,2023
Silver Lake,7600000,     126.7,100.0,  12.4 to 1,92.1,94.5,97.8,2023
Sizer School: A North Central Charter Essential (District),4740000,      35.7,80.1,   9.6 to 1,70.6,86.0,65.9,2023
Somerset,2730000,     133.9,100.0,  12.1 to 1,87.2,96.3,97.9,2023
Somerset Berkley Regional School District,7630000,      77.0,100.0,  13.0 to 1,93.1,92.2,94.3,2023
Somerville,2740000,     430.2,99.0,  11.2 to 1,80.1,94.6,91.7,2023
South Hadley,2780000,     155.9,98.1,  10.8 to 1,88.5,94.2,93.8,2023
South Middlesex Regional Vocational Technical,8290000,      86.8,97.7,   9.7 to 1,76.0,79.2,95.6,2023
South Shore Charter Public (District),4880000,      92.3,84.0,  11.4 to 1,78.0,84.2,72.8,2023
South Shore Regional Vocational Technical,8730000,      66.2,97.0,   9.9 to 1,83.4,86.4,91.3,2023
Southampton,2750000,      38.1,98.4,  12.5 to 1,93.2,97.4,95.2,2023
Southborough,2760000,     108.9,99.1,  11.7 to 1,87.4,93.9,94.1,2023
Southbridge,2770000,     154.9,90.3,  11.7 to 1,49.6,85.8,83.2,2023
Southeastern Regional Vocational Technical,8720000,     124.0,94.4,  12.6 to 1,76.6,90.3,93.7,2023
Southern Berkshire,7650000,      76.2,100.0,   8.1 to 1,81.5,91.3,97.5,2023
Southern Worcester County Regional Vocational School District,8760000,     116.1,99.1,  10.2 to 1,86.2,87.0,99.1,2023
Southwick-Tolland-Granville Regional School District,7660000,     121.2,100.0,  10.9 to 1,94.2,97.5,97.6,2023
Spencer-E Brookfield,7670000,     111.4,98.2,  12.4 to 1,79.4,90.1,94.1,2023
Springfield,2810000,"   2,180.2",95.8,  10.9 to 1,72.6,90.1,84.0,2023
Springfield International Charter (District),4410000,      67.9,77.0,  22.4 to 1,50.5,81.4,58.4,2023
Springfield Preparatory Charter School (District),35100000,      45.0,56.7,  10.8 to 1,45.6,98.9,40.8,2023
Stoneham,2840000,     200.1,100.0,  11.4 to 1,81.5,94.9,94.9,2023
Stoughton,2850000,     315.1,99.7,  11.4 to 1,85.4,95.6,96.7,2023
Sturbridge,2870000,      73.5,98.6,  11.9 to 1,87.8,95.9,97.2,2023
Sturgis Charter Public (District),4890000,      88.7,60.8,   9.4 to 1,78.1,88.2,43.7,2023
Sudbury,2880000,     205.1,100.0,  12.4 to 1,90.9,97.8,98.1,2023
Sunderland,2890000,      23.7,100.0,   7.5 to 1,67.1,95.8,92.6,2023
Sutton,2900000,      98.7,100.0,  13.1 to 1,95.4,97.0,98.1,2023
Swampscott,2910000,     189.9,99.7,  10.7 to 1,88.1,95.6,96.0,2023
Swansea,2920000,     151.2,100.0,  13.1 to 1,92.7,95.4,98.1,2023
TEC Connections Academy Commonwealth Virtual School District,39020000,     119.3,100.0,  24.6 to 1,80.7,94.1,94.2,2023
Tantasqua,7700000,     133.6,99.3,  13.1 to 1,89.1,93.0,93.8,2023
Taunton,2930000,     546.7,99.8,  14.5 to 1,83.4,93.7,98.1,2023
Tewksbury,2950000,     255.2,100.0,  12.5 to 1,88.8,96.9,97.8,2023
Tisbury,2960000,      38.5,100.0,   7.1 to 1,88.7,94.3,100.0,2023
Topsfield,2980000,      57.2,100.0,  11.0 to 1,82.5,100.0,98.4,2023
Tri-County Regional Vocational Technical,8780000,      83.7,95.2,  11.4 to 1,86.7,95.5,94.1,2023
Triton,7730000,     204.9,99.9,  10.9 to 1,85.1,92.4,96.7,2023
Truro,3000000,      18.2,100.0,   5.4 to 1,75.8,100.0,95.0,2023
Tyngsborough,3010000,     126.5,100.0,  12.4 to 1,87.0,97.0,94.7,2023
UP Academy Charter School of Boston (District),4800000,      37.0,83.8,   5.8 to 1,62.2,66.2,76.3,2023
UP Academy Charter School of Dorchester (District),35050000,      59.7,84.6,  10.3 to 1,41.0,78.2,83.3,2023
Up-Island Regional,7740000,      49.4,98.8,   8.3 to 1,81.1,84.6,92.5,2023
Upper Cape Cod Regional Vocational Technical,8790000,      83.4,86.8,   9.2 to 1,71.8,76.0,85.7,2023
Uxbridge,3040000,     132.5,100.0,  12.4 to 1,84.7,94.0,96.5,2023
Veritas Preparatory Charter School (District),4980000,      57.2,60.3,   8.8 to 1,35.8,83.4,44.4,2023
Wachusett,7750000,     482.6,96.9,  14.0 to 1,90.4,97.2,98.8,2023
Wakefield,3050000,     281.6,99.6,  11.7 to 1,86.4,95.4,98.3,2023
Wales,3060000,       9.3,89.2,  10.4 to 1,57.8,87.0,92.3,2023
Walpole,3070000,     310.1,100.0,  11.8 to 1,87.1,97.9,97.5,2023
Waltham,3080000,     552.8,100.0,  10.2 to 1,83.1,94.5,96.1,2023
Ware,3090000,      91.9,99.8,  12.2 to 1,86.1,90.2,96.9,2023
Wareham,3100000,     178.5,99.4,  11.3 to 1,81.6,93.0,95.5,2023
Watertown,3140000,     272.0,98.5,   9.8 to 1,84.8,97.2,94.4,2023
Wayland,3150000,     236.6,99.6,  11.6 to 1,93.2,96.8,96.9,2023
Webster,3160000,     144.6,100.0,  11.7 to 1,84.1,96.5,96.8,2023
Wellesley,3170000,     376.2,99.3,  11.1 to 1,90.2,96.6,97.1,2023
Wellfleet,3180000,      10.6,100.0,   9.2 to 1,71.8,81.2,100.0,2023
West Boylston,3220000,      80.3,98.8,  10.8 to 1,83.6,88.8,97.7,2023
West Bridgewater,3230000,      99.0,100.0,  14.2 to 1,86.6,98.0,97.1,2023
West Springfield,3320000,     349.8,99.6,  11.1 to 1,93.2,97.4,97.0,2023
Westborough,3210000,     336.3,100.0,  11.4 to 1,90.6,95.2,96.7,2023
Westfield,3250000,     426.0,96.6,  11.4 to 1,82.7,95.5,92.5,2023
Westford,3260000,     373.0,97.3,  12.6 to 1,90.8,97.3,94.4,2023
Westhampton,3270000,      13.6,100.0,   7.6 to 1,92.6,92.6,94.4,2023
Weston,3300000,     167.6,98.5,  11.9 to 1,82.6,95.6,93.8,2023
Westport,3310000,     115.2,99.1,  12.5 to 1,87.8,93.5,94.0,2023
Westwood,3350000,     240.6,99.6,  12.0 to 1,83.6,93.5,96.0,2023
Weymouth,3360000,     453.3,99.6,  12.4 to 1,84.3,95.3,97.6,2023
Whately,3370000,      14.8,100.0,   8.6 to 1,79.7,100.0,94.4,2023
Whitman-Hanson,7800000,     252.7,99.6,  14.0 to 1,82.8,95.5,98.5,2023
Whittier Regional Vocational Technical,8850000,     122.9,99.2,  10.4 to 1,87.0,84.6,96.2,2023
Williamsburg,3400000,      15.2,100.0,   8.4 to 1,86.8,93.4,94.4,2023
Wilmington,3420000,     273.8,98.6,  10.2 to 1,84.4,96.6,95.1,2023
Winchendon,3430000,      94.0,100.0,  13.2 to 1,80.8,89.4,87.8,2023
Winchester,3440000,     354.7,99.9,  12.2 to 1,86.1,96.4,98.4,2023
Winthrop,3460000,     150.4,98.0,  12.9 to 1,74.2,88.3,93.2,2023
Woburn,3470000,     374.6,99.2,  11.4 to 1,85.7,96.1,95.7,2023
Worcester,3480000,"   1,715.9",97.6,  14.2 to 1,77.3,89.8,93.0,2023
Worthington,3490000,       9.2,100.0,   8.3 to 1,69.6,87.0,100.0,2023
Wrentham,3500000,      79.4,100.0,  12.0 to 1,85.3,100.0,100.0,2023
State Totals,0,"  76,977.6",97.1,  11.9 to 1,81.3,93.4,92.3,2023
Abby Kelley Foster Charter Public (District),4450000,     115.1,94.8,  12.4 to 1,72.4,87.8,87.4,2021
Abington,10000,     132.4,99.7,  16.0 to 1,84.7,96.2,94.2,2021
Academy Of the Pacific Rim Charter Public (District),4120000,      55.0,57.3,   9.8 to 1,40.9,89.1,58.9,2021
